Year,Month,Day,Leading_index
2001,11,4,98.28361
2001,11,5,98.28361
2001,11,6,98.28361
2001,11,7,98.28361
2001,11,8,98.28361
2001,11,9,98.28361
2001,11,10,98.28361
2001,11,11,98.28361
2001,11,12,98.28361
2001,11,13,98.28361
2001,11,14,98.28361
2001,11,15,98.28361
2001,11,16,98.28361
2001,11,17,98.28361
2001,11,18,98.28361
2001,11,19,98.28361
2001,11,20,98.28361
2001,11,21,98.28361
2001,11,22,98.28361
2001,11,23,98.28361
2001,11,24,98.28361
2001,11,25,98.28361
2001,11,26,98.28361
2001,11,27,98.28361
2001,11,28,98.28361
2001,11,29,98.28361
2001,11,30,98.28361
2001,12,1,98.55009
2001,12,2,98.55009
2001,12,3,98.55009
2001,12,4,98.55009
2001,12,5,98.55009
2001,12,6,98.55009
2001,12,7,98.55009
2001,12,8,98.55009
2001,12,9,98.55009
2001,12,10,98.55009
2001,12,11,98.55009
2001,12,12,98.55009
2001,12,13,98.55009
2001,12,14,98.55009
2001,12,15,98.55009
2001,12,16,98.55009
2001,12,17,98.55009
2001,12,18,98.55009
2001,12,19,98.55009
2001,12,20,98.55009
2001,12,21,98.55009
2001,12,22,98.55009
2001,12,23,98.55009
2001,12,24,98.55009
2001,12,25,98.55009
2001,12,26,98.55009
2001,12,27,98.55009
2001,12,28,98.55009
2001,12,29,98.55009
2001,12,30,98.55009
2001,12,31,98.55009
2002,1,1,98.85872
2002,1,2,98.85872
2002,1,3,98.85872
2002,1,4,98.85872
2002,1,5,98.85872
2002,1,6,98.85872
2002,1,7,98.85872
2002,1,8,98.85872
2002,1,9,98.85872
2002,1,10,98.85872
2002,1,11,98.85872
2002,1,12,98.85872
2002,1,13,98.85872
2002,1,14,98.85872
2002,1,15,98.85872
2002,1,16,98.85872
2002,1,17,98.85872
2002,1,18,98.85872
2002,1,19,98.85872
2002,1,20,98.85872
2002,1,21,98.85872
2002,1,22,98.85872
2002,1,23,98.85872
2002,1,24,98.85872
2002,1,25,98.85872
2002,1,26,98.85872
2002,1,27,98.85872
2002,1,28,98.85872
2002,1,29,98.85872
2002,1,30,98.85872
2002,1,31,98.85872
2002,2,1,99.1515
2002,2,2,99.1515
2002,2,3,99.1515
2002,2,4,99.1515
2002,2,5,99.1515
2002,2,6,99.1515
2002,2,7,99.1515
2002,2,8,99.1515
2002,2,9,99.1515
2002,2,10,99.1515
2002,2,11,99.1515
2002,2,12,99.1515
2002,2,13,99.1515
2002,2,14,99.1515
2002,2,15,99.1515
2002,2,16,99.1515
2002,2,17,99.1515
2002,2,18,99.1515
2002,2,19,99.1515
2002,2,20,99.1515
2002,2,21,99.1515
2002,2,22,99.1515
2002,2,23,99.1515
2002,2,24,99.1515
2002,2,25,99.1515
2002,2,26,99.1515
2002,2,27,99.1515
2002,2,28,99.1515
2002,3,1,99.37188
2002,3,2,99.37188
2002,3,3,99.37188
2002,3,4,99.37188
