Year,Month,Day,CPI,DfF,GDP,Leading_index,Manufacturing_PMI,Services_PMI,Unemployment_Rate,Closing price
2000,5,26,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,27,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,28,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,29,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,30,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,5,31,78.9707207568715,,10250952000000.0,100.9424,,,3.992,
2000,6,1,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,2,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,3,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,4,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,5,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,6,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,7,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,8,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,9,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,10,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,11,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,12,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,13,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,14,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,15,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,16,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,17,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,18,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,19,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,20,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,21,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,22,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,23,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,24,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,25,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,26,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,27,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,28,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,29,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,6,30,78.9707207568715,,10250952000000.0,100.7767,,,3.992,
2000,7,1,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,2,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,3,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,4,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,5,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,6,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,7,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,8,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,9,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,10,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,11,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,12,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
2000,7,13,78.9707207568715,,10250952000000.0,100.5929,,,3.992,
